topic,hashtags,duration,caption
music,rap,42.25,How rap shaped modern sound.
sports,olympics,54.82,How olympics builds community and strength.
art,modern,47.69,The evolution of modern modern.
news,local,25.5,Global reaction to local.
fashion,runway,24.8,This season’s top trends in runway.
art,"gallery, culture, modern",38.01,The evolution of modern gallery.
art,digitalart,19.08,How digitalart is redefining the art scene.
news,"crisis, update",48.39,Global reaction to update.
music,rap,35.54,Music and rap: a powerful duo.
food,"dessert, fusion",29.85,A cultural dive into fusion cuisine.
sports,olympics,22.67,The hidden benefits of olympics in daily life.
food,fusion,56.24,How to make the perfect fusion dish.
sports,"football, fitness, olympics",34.94,How olympics builds community and strength.
gaming,"rpg, esports, strategy",43.54,esports is changing how we play.
sports,fitness,47.27,The hidden benefits of fitness in daily life.
sports,"fitness, football, olympics",50.07,How football builds community and strength.
tech,innovation,25.54,Exploring the impact of innovation in today's world.
music,"legends, AI",13.62,How AI shaped modern sound.
gaming,"streaming, esports, rpg",23.18,Why everyone is talking about esports.
art,"modern, digitalart, culture",10.25,How modern is redefining the art scene.
news,election,49.37,Global reaction to election.
music,"live, pop, legends",48.85,How live shaped modern sound.
sports,"olympics, worldcup, training",27.53,How worldcup builds community and strength.
food,"fusion, pasta, grill",45.88,A cultural dive into fusion cuisine.
music,pop,43.93,How pop shaped modern sound.
gaming,"rpg, strategy",52.53,Why everyone is talking about rpg.
food,"grill, dessert, vegan",33.72,How to make the perfect dessert dish.
news,"update, international, election",51.66,The latest update on election.
art,exhibition,13.89,How exhibition is redefining the art scene.
sports,"football, worldcup",33.8,Why football is more exciting than ever.
gaming,"streaming, rpg, strategy",55.8,The future of gaming with strategy.
tech,"AI, innovation",29.24,Exploring the impact of AI in today's world.
art,"modern, digitalart, gallery",52.25,The evolution of modern modern.
food,"pasta, fusion, vegan",59.08,How to make the perfect pasta dish.
gaming,update,52.4,The future of gaming with update.
gaming,rpg,24.95,The future of gaming with rpg.
music,legends,14.12,How legends shaped modern sound.
news,"international, local",32.65,The latest update on international.
sports,"training, fitness, football",41.54,How training builds community and strength.
music,"legends, pop, AI",50.38,Music and AI: a powerful duo.
music,"rap, AI",41.98,How rap shaped modern sound.
art,"gallery, digitalart",15.95,The evolution of modern gallery.
gaming,"rpg, update, strategy",37.92,Why everyone is talking about strategy.
food,"dessert, grill",20.62,Why everyone’s craving dessert this season.
art,culture,43.46,How culture is redefining the art scene.
gaming,"strategy, update",13.76,update is changing how we play.
food,vegan,40.31,How to make the perfect vegan dish.
food,"grill, pasta",48.7,A cultural dive into pasta cuisine.
music,live,13.75,How live shaped modern sound.
music,"legends, live",21.51,How live shaped modern sound.
fashion,"summer, trendy",23.39,The timeless appeal of summer in fashion.
art,"modern, culture, gallery",49.87,The evolution of modern culture.
tech,robotics,34.72,Exploring the impact of robotics in today's world.
news,"international, update, election",45.35,The latest update on update.
gaming,strategy,45.14,strategy is changing how we play.
tech,"AI, robotics",30.77,How robotics is changing the future of technology.
food,vegan,33.09,A cultural dive into vegan cuisine.
gaming,"rpg, update",58.96,update is changing how we play.
sports,"worldcup, football, olympics",27.66,Why worldcup is more exciting than ever.
fashion,vintage,23.29,How vintage is reshaping runway looks.
food,fusion,34.1,A cultural dive into fusion cuisine.
music,pop,54.27,Music and pop: a powerful duo.
fashion,"vintage, trendy",13.24,How trendy is reshaping runway looks.
tech,"5G, innovation",17.04,How 5G is changing the future of technology.
sports,fitness,34.74,The hidden benefits of fitness in daily life.
art,gallery,13.14,The evolution of modern gallery.
food,pasta,50.87,How to make the perfect pasta dish.
news,"update, international, local",55.86,Breaking: What you need to know about local.
tech,"innovation, 5G, AI",36.25,The next big thing in tech: innovation.
art,"digitalart, culture, exhibition",40.99,Celebrating creativity through exhibition.
gaming,"update, rpg",35.51,The future of gaming with update.
food,"fusion, grill",11.53,A cultural dive into grill cuisine.
sports,"football, fitness, training",23.42,How football builds community and strength.
art,"culture, gallery, digitalart",41.73,How culture is redefining the art scene.
tech,"AI, innovation",59.16,Exploring the impact of innovation in today's world.
food,"dessert, vegan",42.17,Why everyone’s craving vegan this season.
food,"fusion, dessert",49.67,How to make the perfect dessert dish.
sports,fitness,41.19,The hidden benefits of fitness in daily life.
music,"rap, legends",57.81,Music and rap: a powerful duo.
news,crisis,49.83,Global reaction to crisis.
fashion,trendy,43.96,How trendy is reshaping runway looks.
tech,innovation,38.23,Exploring the impact of innovation in today's world.
fashion,"trendy, vintage",49.96,How vintage is reshaping runway looks.
fashion,designers,51.79,This season’s top trends in designers.
art,"culture, digitalart, exhibition",52.68,How digitalart is redefining the art scene.
music,"legends, AI",31.43,How AI shaped modern sound.
sports,"training, fitness",43.62,How training builds community and strength.
gaming,"update, strategy",25.31,The future of gaming with strategy.
fashion,summer,45.7,How summer is reshaping runway looks.
news,"international, local, update",30.9,Global reaction to update.
music,"live, legends",18.05,Music and live: a powerful duo.
news,"update, crisis, international",44.27,Breaking: What you need to know about update.
tech,"innovation, 5G",16.81,How innovation is changing the future of technology.
food,"dessert, grill",19.93,How to make the perfect dessert dish.
fashion,"designers, vintage, trendy",24.52,The timeless appeal of trendy in fashion.
gaming,"streaming, rpg",17.26,streaming is changing how we play.
music,live,35.62,Music and live: a powerful duo.
fashion,"trendy, vintage, runway",28.81,This season’s top trends in vintage.
art,"culture, exhibition, digitalart",11.77,The evolution of modern digitalart.
music,"legends, AI, live",35.92,Music and live: a powerful duo.
tech,"5G, AI",42.49,The next big thing in tech: AI.
sports,"fitness, worldcup, training",19.34,Why training is more exciting than ever.
food,"dessert, grill, vegan",48.66,How to make the perfect vegan dish.
tech,"5G, robotics, innovation",54.21,Exploring the impact of robotics in today's world.
gaming,streaming,46.75,Why everyone is talking about streaming.
fashion,"vintage, runway, trendy",48.9,This season’s top trends in trendy.
sports,"fitness, worldcup, training",43.26,How worldcup builds community and strength.
music,"pop, legends, rap",40.92,The controversy around pop in music.
tech,AI,10.62,Exploring the impact of AI in today's world.
gaming,"rpg, esports",58.6,The future of gaming with rpg.
news,"update, crisis, election",16.4,Global reaction to election.
tech,"startups, 5G",29.13,Exploring the impact of 5G in today's world.
art,digitalart,17.61,Celebrating creativity through digitalart.
gaming,esports,53.38,The future of gaming with esports.
music,"live, legends, pop",48.08,The controversy around pop in music.
music,pop,58.32,Music and pop: a powerful duo.
news,"local, update",40.98,The latest update on update.
tech,5G,23.28,How 5G is changing the future of technology.
news,"local, crisis, election",49.07,Breaking: What you need to know about local.
food,vegan,30.21,How to make the perfect vegan dish.
gaming,esports,57.6,esports is changing how we play.
art,"digitalart, gallery, exhibition",57.11,The evolution of modern gallery.
food,"pasta, grill",45.66,How to make the perfect pasta dish.
food,"dessert, fusion",32.41,Why everyone’s craving fusion this season.
fashion,designers,51.81,This season’s top trends in designers.
fashion,"designers, vintage",57.84,This season’s top trends in vintage.
news,crisis,11.83,Global reaction to crisis.
music,"pop, legends",16.76,The controversy around pop in music.
gaming,update,48.25,update is changing how we play.
sports,"worldcup, training, football",33.79,How worldcup builds community and strength.
news,local,53.05,The latest update on local.
fashion,"trendy, designers",38.87,This season’s top trends in designers.
food,pasta,42.94,A cultural dive into pasta cuisine.
tech,"AI, robotics",17.77,The next big thing in tech: robotics.
news,update,39.13,Global reaction to update.
gaming,strategy,49.52,The future of gaming with strategy.
tech,robotics,28.07,The next big thing in tech: robotics.
food,fusion,12.1,A cultural dive into fusion cuisine.
news,crisis,52.55,The latest update on crisis.
gaming,"streaming, update, strategy",23.49,The future of gaming with update.
music,rap,30.33,Music and rap: a powerful duo.
gaming,"streaming, rpg",35.76,Why everyone is talking about streaming.
sports,worldcup,53.66,Why worldcup is more exciting than ever.
tech,"5G, AI, innovation",37.79,Exploring the impact of AI in today's world.
fashion,"designers, summer",55.33,This season’s top trends in designers.
news,"election, crisis",49.14,The latest update on election.
gaming,"rpg, strategy, esports",17.51,strategy is changing how we play.
tech,AI,12.11,The next big thing in tech: AI.
sports,"fitness, football",14.25,How fitness builds community and strength.
gaming,"update, strategy, esports",17.78,update is changing how we play.
fashion,"trendy, summer, designers",58.54,How designers is reshaping runway looks.
gaming,"update, strategy",53.14,Why everyone is talking about update.
